serial,title,category,region,system,mapping_files
SCES-02066,"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLPM 86770,Bio Hazard (Japan) (Rev 1),Games,NTSC-J,PSX,
SLPS 02300,Biohazard 3 - Last Escape (Japan),Games,NTSC-J,PSX,
SLUS-00663,Bushido Blade 2 (USA),Games,NTSC-U,PSX,
SLUS-01041,Chrono Cross (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01041GH,Chrono Cross (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01080,Chrono Cross (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-01080GH,Chrono Cross (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00539,Clock Tower (USA),Games,NTSC-U,PSX,
SLUS-00695,Clock Tower II - The Struggle Within (USA),Games,NTSC-U,PSX,
SLUS-00665,Command & Conquer - Red Alert - Retaliation (USA) (Disc 1) (Allies),Games,NTSC-U,PSX,
SLUS-00667,Command & Conquer - Red Alert - Retaliation (USA) (Disc 2) (Soviet),Games,NTSC-U,PSX,
SLES-02793,Crisis Beat (Europe),Games,PAL,PSX,
SLUS-00619,"Diablo (USA) (En,Fr,De,Sv)",Games,NTSC-U,PSX,
SLUS-00842GH,Driver - You Are the Wheelman (USA) (Rev 1),Games,NTSC-U,PSX,
SLES-03428,Evil Dead - Hail to the King (Europe) (Disc 1),Games,PAL,PSX,
SLES-03428-GER,Evil Dead - Hail to the King (Europe) (Disc 1),Games,PAL,PSX,
SLES-13428,Evil Dead - Hail to the King (Europe) (Disc 2),Games,PAL,PSX,
SLES-13428-GER,Evil Dead - Hail to the King (Europe) (Disc 2),Games,PAL,PSX,
SLUS-01072,Evil Dead - Hail to the King (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01326,Evil Dead - Hail to the King (USA) (Disc 2),Games,NTSC-U,PSX,
SLES-00097,"Exhumed (Europe) (En,Fr,De,Es)",Games,PAL,PSX,
SLUS-00533,Felony 11-79 (USA),Games,NTSC-U,PSX,
SCES-03840,"Final Fantasy Anthology - European Edition - Final Fantasy IV (Europe, Australia)",Games,PAL,PSX,
SCES-03840-ANZ,"Final Fantasy Anthology - European Edition - Final Fantasy IV (Europe, Australia)",Games,PAL,PSX,
SCES-13840,"Final Fantasy Anthology - European Edition - Final Fantasy V (Europe, Australia)",Games,PAL,PSX,
SCES-13840-ANZ,"Final Fantasy Anthology - European Edition - Final Fantasy V (Europe, Australia)",Games,PAL,PSX,
SLUS-00879,Final Fantasy Anthology - Final Fantasy V (USA),Games,NTSC-U,PSX,
SLUS-00900,Final Fantasy Anthology - Final Fantasy VI (USA),Games,NTSC-U,PSX,
SLUS-01541,Final Fantasy Origins (USA) (Rev 1),Games,NTSC-U,PSX,
SLUS-01541F,Final Fantasy Origins (USA) (Rev 1),Games,NTSC-U,PSX,
SLUS-01541GH,Final Fantasy Origins (USA) (Rev 1),Games,NTSC-U,PSX,
SCUS-94221,Final Fantasy Tactics (USA),Games,NTSC-U,PSX,
SCES-03828,"Final Fantasy VI (Europe, Australia)",Games,PAL,PSX,
SCES-03828-ANZ,"Final Fantasy VI (Europe, Australia)",Games,PAL,PSX,
SLPS 00700,Final Fantasy VII (Japan) (Disc 1),Games,NTSC-J,PSX,
SLPS 00701,Final Fantasy VII (Japan) (Disc 2),Games,NTSC-J,PSX,
SLPS 00702,Final Fantasy VII (Japan) (Disc 3),Games,NTSC-J,PSX,
SCES-00867,Final Fantasy VII (Europe) (Disc 1),Games,PAL,PSX,
SCES-10867,Final Fantasy VII (Europe) (Disc 2),Games,PAL,PSX,
SCES-20867,Final Fantasy VII (Europe) (Disc 3),Games,PAL,PSX,
SCUS-94163,Final Fantasy VII (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-00892,Final Fantasy VIII (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00892GH,Final Fantasy VIII (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00908,Final Fantasy VIII (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00908GH,Final Fantasy VIII (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00909,Final Fantasy VIII (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-00909GH,Final Fantasy VIII (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-00910,Final Fantasy VIII (USA) (Disc 4),Games,NTSC-U,PSX,
SLUS-00910GH,Final Fantasy VIII (USA) (Disc 4),Games,NTSC-U,PSX,
SLUS-01251,Final Fantasy IX (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01295,Final Fantasy IX (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-01296,Final Fantasy IX (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-01297,Final Fantasy IX (USA) (Disc 4),Games,NTSC-U,PSX,
SLUS-01011,Front Mission 3 (USA),Games,NTSC-U,PSX,
SCES-00984,"Gran Turismo (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SCES-00984#,"Gran Turismo (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SCES-12380,"Gran Turismo 2 (Europe) (En,Fr,De,Es,It) (Disc 2) (Gran Turismo Mode)",Games,PAL,PSX,
SLUS-01115,Harvest Moon - Back to Nature (USA),Games,NTSC-U,PSX,
SCES-02149,In Cold Blood (Europe) (Disc 1),Games,PAL,PSX,
SCES-02149-RUS,In Cold Blood (Europe) (Disc 1),Games,PAL,PSX,
SCES-02149/T1,In Cold Blood (Europe) (Disc 1),Games,PAL,PSX,
SCES-12149,In Cold Blood (Europe) (Disc 2),Games,PAL,PSX,
SCES-12149-RUS,In Cold Blood (Europe) (Disc 2),Games,PAL,PSX,
SCES-12149/T2,In Cold Blood (Europe) (Disc 2),Games,PAL,PSX,
SLUS-00854,Jade Cocoon - Story of the Tamamayu (USA),Games,NTSC-U,PSX,
SLUS-00158,King's Field (USA),Games,NTSC-U,PSX,
SCUS 94254,Legend of Legaia (USA),Games,NTSC-U,PSX,
SLUS-01013,Legend of Mana (USA),Games,NTSC-U,PSX,
SLUS-01071,Lunar 2 - Eternal Blue Complete (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01071A,Lunar 2 - Eternal Blue Complete (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01071B,Lunar 2 - Eternal Blue Complete (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01239,Lunar 2 - Eternal Blue Complete (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-01239A,Lunar 2 - Eternal Blue Complete (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-01239B,Lunar 2 - Eternal Blue Complete (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-01240,Lunar 2 - Eternal Blue Complete (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-01240A,Lunar 2 - Eternal Blue Complete (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-01240B,Lunar 2 - Eternal Blue Complete (USA) (Disc 3),Games,NTSC-U,PSX,
SLES-01508,Metal Gear Solid (Italy) (Disc 1),Games,PAL,PSX,
SLES-11508,Metal Gear Solid (Italy) (Disc 2),Games,PAL,PSX,
SLUS-80594,Metal Gear Solid (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00594,Metal Gear Solid (USA) (Disc 1) (Rev 1),Games,NTSC-U,PSX,
SLUS-00594P3,Metal Gear Solid (USA) (Disc 1) (Rev 1),Games,NTSC-U,PSX,
SLUS-00776,Metal Gear Solid (USA) (Disc 2) (Rev 1),Games,NTSC-U,PSX,
SLUS-00776P3,Metal Gear Solid (USA) (Disc 2) (Rev 1),Games,NTSC-U,PSX,
SLUS-00917,Monster Rancher 2 (USA),Games,NTSC-U,PSX,
SLES-01356,"Music - Music Creation for the PlayStation (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLUS-00620,Need for Speed III - Hot Pursuit (USA),Games,NTSC-U,PSX,
SLUS-00620CE,Need for Speed III - Hot Pursuit (USA),Games,NTSC-U,PSX,
SLUS-00826,Need for Speed - High Stakes (USA),Games,NTSC-U,PSX,
SLUS-00826GH,Need for Speed - High Stakes (USA),Games,NTSC-U,PSX,
SLES-01788,"Need for Speed - Road Challenge (Europe) (En,Sv)",Games,PAL,PSX,
SLUS-00662,Parasite Eve (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00668,Parasite Eve (USA) (Disc 2),Games,NTSC-U,PSX,
SLES-02558,Parasite Eve II (Europe) (Disc 1),Games,PAL,PSX,
SLES-12558,Parasite Eve II (Europe) (Disc 2),Games,PAL,PSX,
SLUS-00339,Persona (USA),Games,NTSC-U,PSX,
SCPS 45356,"R4 - Ridge Racer Type 4 (Japan, Asia)",Games,NTSC-J,PSX,
SLPS 01800,"R4 - Ridge Racer Type 4 (Japan, Asia)",Games,NTSC-J,PSX,
SLUS-00170,Resident Evil (USA),Games,NTSC-U,PSX,
SLUS-00551,Resident Evil - Director's Cut (USA),Games,NTSC-U,PSX,
SLUS-00747,Resident Evil - Director's Cut - Dual Shock Ver. (USA),Games,NTSC-U,PSX,
SLUS-00923D,Resident Evil 3 - Nemesis (USA),Games,NTSC-U,PSX,
SLUS-00923GH,Resident Evil 3 - Nemesis (USA),Games,NTSC-U,PSX,
SCUS-94230,SaGa Frontier (USA),Games,NTSC-U,PSX,
SLES-01514,"Silent Hill (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-01514 - P,"Silent Hill (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLUS-00707,Silent Hill (USA),Games,NTSC-U,PSX,
SLUS-00707GHA,Silent Hill (USA),Games,NTSC-U,PSX,
SLED-01735,Silent Hill (Europe) (Demo),Demos,PAL,PSX,
SLES-00471,"SimCity 2000 (Europe) (En,Fr,De,Es)",Games,PAL,PSX,
SLUS-00958,Suikoden II (USA),Games,NTSC-U,PSX,
SLPS 01770,Tales of Phantasia (Japan),Games,NTSC-J,PSX,
SLPS 91210,Tales of Phantasia (Japan),Games,NTSC-J,PSX,
SCUS-94491,"Legend of Dragoon, The (USA) (Disc 1)",Games,NTSC-U,PSX,
SCUS-94584,"Legend of Dragoon, The (USA) (Disc 2)",Games,NTSC-U,PSX,
SCUS-94585,"Legend of Dragoon, The (USA) (Disc 3)",Games,NTSC-U,PSX,
SCUS-94586,"Legend of Dragoon, The (USA) (Disc 4)",Games,NTSC-U,PSX,
SLUS-01019,Threads of Fate (USA),Games,NTSC-U,PSX,
SLES-03331,Tomb Raider Chronicles (Europe),Games,PAL,PSX,
SCUS-94642,Twisted Metal - Small Brawl (USA),Games,NTSC-U,PSX,
SLUS-01040,Vagrant Story (USA),Games,NTSC-U,PSX,
SLUS-01040GH,Vagrant Story (USA),Games,NTSC-U,PSX,
SLUS-00447,Vandal Hearts (USA),Games,NTSC-U,PSX,
SLUS-00480,"WarCraft II - The Dark Saga (USA) (En,Fr,De,Es,It)",Games,NTSC-U,PSX,
SCES-00321,Wild Arms (Europe),Games,PAL,PSX,
SCUS-94608,Wild Arms (USA),Games,NTSC-U,PSX,
SCUS-94484,Wild Arms 2 (USA) (Disc 1),Games,NTSC-U,PSX,
SCUS-94498,Wild Arms 2 (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00664,Xenogears (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00664GH,Xenogears (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-00669,Xenogears (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-00669GH,Xenogears (USA) (Disc 2),Games,NTSC-U,PSX,
SLES-01374,"Tenchu - Stealth Assassins (Europe) (En,Fr,It)",Games,PAL,PSX,
SLES-03284,Prism Land Story (Europe),Games,PAL,PSX,
SLUS-00422,Breath of Fire III (USA),Games,NTSC-U,PSX,
SLES-02240-GER,Tomb Raider IV - The Last Revelation (Germany) (EDC),Games,PAL,PSX,
SLES-02340,"Thrasher - Skate and Destroy (Europe) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-01404#,"Grand Theft Auto 2 (Europe) (En,Fr,De,Es,It) (Rev 1)",Games,PAL,PSX,
SLES-00246,Alien Trilogy (Germany),Games,PAL,PSX,
SCED-00825,Euro Demo 29 (Europe),Coverdiscs,PAL,PSX,
SLES-02203,Jade Cocoon - Die Tamamayu Legende (Germany),Games,PAL,PSX,
SLES-02203#,Jade Cocoon - Die Tamamayu Legende (Germany),Games,PAL,PSX,
SLUS-00885GH,Tomb Raider - The Last Revelation (USA) (Rev 1),Games,NTSC-U,PSX,
SCES-02180,"Point Blank 2 (Europe, Australia) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00051,"Raiden Project, The (Europe)",Games,PAL,PSX,
SLUS-00939,Tenchu 2 - Birth of the Stealth Assassins (USA),Games,NTSC-U,PSX,
SLUS-00939GH,Tenchu 2 - Birth of the Stealth Assassins (USA),Games,NTSC-U,PSX,
SLUS-00753,R-Types (USA),Games,NTSC-U,PSX,
SCES-01420,"Crash Bandicoot 3 - Warped (Europe, Australia) (En,Fr,De,Es,It)",Games,PAL,PSX,
SLES-00927,"Constructor (Europe) (En,Fr,De,Es)",Games,PAL,PSX,
SLUS-01051,Koudelka (USA) (Disc 1),Games,NTSC-U,PSX,
SLUS-01100,Koudelka (USA) (Disc 2),Games,NTSC-U,PSX,
SLUS-01101,Koudelka (USA) (Disc 3),Games,NTSC-U,PSX,
SLUS-01102,Koudelka (USA) (Disc 4),Games,NTSC-U,PSX,
SLES-02112,SaGa Frontier 2 (Europe),Games,PAL,PSX,
SCED-01829,Euro Demo 55 (Europe),Coverdiscs,PAL,PSX,
SCED-02639,Euro Demo 65 (Europe),Coverdiscs,PAL,PSX,
SCED-02640,Euro Demo 66 (Europe),Coverdiscs,PAL,PSX,
SCED-02641,Euro Demo 67 (Europe),Coverdiscs,PAL,PSX,
SCED-02638,Euro Demo 64 (Europe),Coverdiscs,PAL,PSX,
SCED-02644,Euro Demo 70 (Europe),Coverdiscs,PAL,PSX,
SCED-02645,Euro Demo 71 (Europe),Coverdiscs,PAL,PSX,
SCED-02646,Euro Demo 72 (Europe),Coverdiscs,PAL,PSX,
SCES-00892,Disney Jeu d'Action Disney Presente Hercule (France),Games,PAL,PSX,
SCED-01823,Euro Demo 49 (Europe),Coverdiscs,PAL,PSX,
SCED-00826,Euro Demo 30 (Europe),Coverdiscs,PAL,PSX,
SCED-01151,Euro Demo 41 (Europe),Coverdiscs,PAL,PSX,
SCED-01152,Euro Demo 42 (Europe),Coverdiscs,PAL,PSX,
SCED-01153,Euro Demo 43 (Europe),Coverdiscs,PAL,PSX,
SCED-01818,Euro Demo 44 (Europe),Coverdiscs,PAL,PSX,
SCED-01819,Euro Demo 45 (Europe),Coverdiscs,PAL,PSX,
SCED-01820,Euro Demo 46 (Europe),Coverdiscs,PAL,PSX,
SCED-01821,Euro Demo 47 (Europe),Coverdiscs,PAL,PSX,
SCED-01822,Euro Demo 48 (Europe),Coverdiscs,PAL,PSX,
SCED-01824,Euro Demo 50 (Europe),Coverdiscs,PAL,PSX,
SCUS-94307,Bogey Dead 6 (USA),Games,NTSC-U,PSX,
SCED-01826,Euro Demo 52 (Europe),Coverdiscs,PAL,PSX,
SCED-01826 #,Euro Demo 52 (Europe),Coverdiscs,PAL,PSX,
SCED-01825,Euro Demo 51 (Europe),Coverdiscs,PAL,PSX,
SCED-01827,"Euro Demo 53 (Europe, Australia)",Coverdiscs,PAL,PSX,
SCED-01828,Euro Demo 54 (Europe),Coverdiscs,PAL,PSX,
SCED-01830,Euro Demo 56 (Europe),Coverdiscs,PAL,PSX,
SCED-01831,Euro Demo 57 (Europe),Coverdiscs,PAL,PSX,
SCED-02632,Euro Demo 58 (Europe),Coverdiscs,PAL,PSX,
SCED-02633,Euro Demo 59 (Europe),Coverdiscs,PAL,PSX,
